trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9607894391523232}",20,0,-78.87633267876622,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9231163463866358}",20,0,-55.62296506915255,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.8869204367171575}",20,0,-79.86062862284582,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.8521437889662113}",30,0,-67.30395652087029,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.8187307530779818}",25,0,-193.57109428028082,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.7866278610665535}",25,0,-85.10456033330703,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.7557837414557255}",30,0,-69.32058691825947,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.7261490370736909}",25,0,-58.81091212213144,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.697676326071031}",30,0,-168.8958160061527,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.4, 'e': 0.6703200460356393}",20,0,-91.61351685973956,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 0.6440364210831414}",20,7,0.5320793787350344,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.6187833918061408}",20,0,-60.600525472683024,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.5945205479701944}",25,0,-115.04669902072274,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.5712090638488149}",20,0,-28.170514795565797,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.5488116360940265}",25,0,-122.99468963955354,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.4, 'e': 0.5272924240430485}",20,0,-76.09035004663197,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.5066169923655895}",20,0,-57.8586068145549,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.4867522559599717}",20,0,3.269399304712575,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.46766642700990924}",20,0,-12.27730736379203,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.44932896411722156}",20,6,-0.9838183545247912,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.43171052342907973}",20,6,-39.00364950187179,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.4, 'e': 0.4147829116815814}",20,6,-9.556626602224433,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.4, 'e': 0.39851904108451414}",20,0,-12.208970857179175,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.38289288597511206}",20,5,-1.5509292339195377,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.36787944117144233}",20,4,-39.45374034513473,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.4, 'e': 0.35345468195878016}",25,0,7.422637731533828,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.3395955256449391}",20,11,-14.010562426523833,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.4, 'e': 0.32627979462303947}",30,11,38.808493804613754,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.4, 'e': 0.3134861808826053}",20,3,4.36915770422171,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.4, 'e': 0.30119421191220214}",20,15,-3.3208699455272357,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.4, 'e': 0.2893842179390506}",25,0,-71.68442463140389,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.27803730045319414}",25,0,20.301457455963117,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.4, 'e': 0.26713530196585034}",20,0,-27.356843976971565,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.4, 'e': 0.2566607769535559}",20,8,-5.293765631625407,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.4, 'e': 0.24659696394160643}",25,9,-15.08022862082883,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
36,False,"{'a': 0.4, 'e': 0.23692775868212176}",20,6,-29.354867144613934,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.4, 'e': 0.22763768838381274}",30,22,11.662697611160048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.21871188695221475}",25,11,-18.055060145834872,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.4, 'e': 0.21013607120076472}",30,21,-17.914698987056635,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.4, 'e': 0.20189651799465538}",30,0,9.695200361116735,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.4, 'e': 0.19398004229089189}",30,16,2.55497361760178,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.18637397603940997}",30,5,-16.42176389567303,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.4, 'e': 0.17906614791149322}",20,0,16.085231942556504,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.4, 'e': 0.17204486382305054}",25,12,27.987350752149148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
