trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-46.85258028303035,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-141.1629677050811,"{0: 12, 1: 0, 2: 10, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,9,-90.48788453353028,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.8521437889662113}",35,0,-178.75419854722753,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-140.66054064286283,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-232.1355211217898,"{0: 9, 1: 4, 2: 7, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-107.66277718757962,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-190.2498383290606,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.697676326071031}",30,2,-143.18775754568847,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-92.90659161547558,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-76.29102632939279,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-67.14042536196258,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-86.28620060154269,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,0,-143.45137474465542,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-147.47261095596394,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-129.7904678654111,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-233.68902642519623,"{0: 8, 1: 4, 2: 8, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,0,-297.02708667772737,"{0: 10, 1: 5, 2: 10, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-140.00053004857014,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,4,-124.83783781307416,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",30,4,-179.53570238970417,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 4}",1
2,True,"{'a': 0, 'e': 0}",20,0,-130.9706532741464,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,0,-110.03273352244602,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-71.90329127486199,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-239.9321247594013,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 6}",0
6,True,"{'a': 0, 'e': 0}",20,0,-57.192662045663006,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-91.25315377221673,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-196.49771076914132,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-123.79116618648155,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-160.24902817162493,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
